,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted,gender
15,<0DM,15,Existing_credits_paid_till_now,new_car,1403,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,220,none,rent,1,skilled_employee/official,1,none,yes,0,female
16,<0DM,24,Existing_credits_paid_till_now,radio/television,1282,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,32,124,none,own,1,unskilled_resident,1,none,yes,1,female
17,None,24,Critical_acct_other_credits_existing,radio/television,2424,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,53,145,none,own,2,skilled_employee/official,1,none,yes,0,male
18,<0DM,30,No_credits_taken_or_all_paid,business,8072,Unknown_or_no_savings_acct,<1yr,2,male_single,None,3,car_or_other_nonsavings,25,313,bank,own,3,skilled_employee/official,1,none,yes,0,male
19,0_to_200DM,24,Existing_credits_paid_till_now,used_car,12579,<100DM,>7yrs,4,female_divorced/separated/married,None,2,unknown/no_property,44,28,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,female
20,None,24,Existing_credits_paid_till_now,radio/television,3430,500_to_1000DM,>7yrs,3,male_single,None,2,car_or_other_nonsavings,31,145,none,own,1,skilled_employee/official,2,yes,yes,0,male
21,None,9,Critical_acct_other_credits_existing,new_car,2134,<100DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,48,60,none,own,3,skilled_employee/official,1,yes,yes,0,male
22,<0DM,6,Existing_credits_paid_till_now,radio/television,2647,500_to_1000DM,1_to_4yrs,2,male_single,None,3,real_estate,44,28,none,rent,1,skilled_employee/official,2,none,yes,0,male
23,<0DM,10,Critical_acct_other_credits_existing,new_car,2241,<100DM,<1yr,1,male_single,None,3,real_estate,48,60,none,rent,2,unskilled_resident,2,none,no,0,male
24,0_to_200DM,12,Critical_acct_other_credits_existing,used_car,1804,100_to_500DM,<1yr,3,male_single,None,4,building_society_savings_agreement/life_insurance,44,28,none,own,1,skilled_employee/official,1,none,yes,0,male
25,None,10,Critical_acct_other_credits_existing,furniture/equipment,2069,Unknown_or_no_savings_acct,1_to_4yrs,2,male_married/widowed,None,1,car_or_other_nonsavings,26,280,none,own,2,skilled_employee/official,1,none,no,0,male
26,<0DM,6,Existing_credits_paid_till_now,furniture/equipment,1374,<100DM,1_to_4yrs,1,male_single,None,2,real_estate,36,60,bank,own,1,unskilled_resident,1,yes,yes,0,male
27,None,6,No_credits_taken_or_all_paid,radio/television,426,<100DM,>7yrs,4,male_married/widowed,None,4,car_or_other_nonsavings,39,33,none,own,1,unskilled_resident,1,none,yes,0,male
28,>200DM,12,All_credits_paid_duly,radio/television,409,>1000DM,1_to_4yrs,3,female_divorced/separated/married,None,3,real_estate,42,24,none,rent,2,skilled_employee/official,1,none,yes,0,female
29,0_to_200DM,7,Existing_credits_paid_till_now,radio/television,2415,<100DM,1_to_4yrs,3,male_single,guarantor,2,real_estate,34,88,none,own,1,skilled_employee/official,1,none,yes,0,male
30,<0DM,60,Delay_in_past,business,6836,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,63,465,none,own,2,skilled_employee/official,1,yes,yes,1,male
31,0_to_200DM,18,Existing_credits_paid_till_now,business,1913,>1000DM,<1yr,3,male_married/widowed,None,3,real_estate,36,60,bank,own,1,skilled_employee/official,1,yes,yes,0,male
32,<0DM,24,Existing_credits_paid_till_now,furniture/equipment,4020,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27,249,stores,own,1,skilled_employee/official,1,none,yes,0,male
33,0_to_200DM,18,Existing_credits_paid_till_now,new_car,5866,100_to_500DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,30,168,none,own,2,skilled_employee/official,1,yes,yes,0,male
34,None,12,Critical_acct_other_credits_existing,business,1264,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,35,193,none,rent,1,unskilled_resident,1,none,yes,0,male
35,>200DM,12,Existing_credits_paid_till_now,furniture/equipment,1474,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,33,105,bank,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
36,0_to_200DM,45,Critical_acct_other_credits_existing,radio/television,4746,<100DM,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,25,313,none,own,2,unskilled_resident,1,none,yes,1,male
37,None,48,Critical_acct_other_credits_existing,education,6110,<100DM,1_to_4yrs,1,male_single,None,3,unknown/no_property,31,145,bank,for_free,1,skilled_employee/official,1,yes,yes,0,male
38,>200DM,18,Existing_credits_paid_till_now,radio/television,2100,<100DM,1_to_4yrs,4,male_single,co-applicant,2,real_estate,37,49,stores,own,1,skilled_employee/official,1,none,yes,1,male
39,>200DM,10,Existing_credits_paid_till_now,domestic_appliances,1225,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,37,49,none,own,1,skilled_employee/official,1,yes,yes,0,male
40,0_to_200DM,9,Existing_credits_paid_till_now,radio/television,458,<100DM,1_to_4yrs,4,male_single,None,3,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,0,male
41,None,30,Existing_credits_paid_till_now,radio/television,2333,500_to_1000DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,35,193,bank,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0,male
42,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1158,500_to_1000DM,1_to_4yrs,3,male_divorced/separated,None,1,car_or_other_nonsavings,26,280,none,own,1,skilled_employee/official,1,yes,yes,0,male
43,0_to_200DM,18,Delay_in_past,repairs,6204,<100DM,1_to_4yrs,2,male_single,None,4,real_estate,44,28,none,own,1,unskilled_resident,2,yes,yes,0,male
44,<0DM,30,Critical_acct_other_credits_existing,used_car,6187,100_to_500DM,4_to_7yrs,1,male_married/widowed,None,4,car_or_other_nonsavings,24,348,none,rent,2,skilled_employee/official,1,none,yes,0,male
45,<0DM,48,Critical_acct_other_credits_existing,used_car,6143,<100DM,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,58,280,stores,for_free,2,unskilled_resident,1,none,yes,1,female
46,None,11,Critical_acct_other_credits_existing,new_car,1393,<100DM,<1yr,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,35,73,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,0,female
47,None,36,Existing_credits_paid_till_now,radio/television,2299,500_to_1000DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,39,33,none,own,1,skilled_employee/official,1,none,yes,0,male
48,<0DM,6,Existing_credits_paid_till_now,used_car,1352,500_to_1000DM,unemployed,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,385,none,rent,1,unemployed/unskilled_nonresident,1,yes,yes,0,female
49,None,11,Critical_acct_other_credits_existing,new_car,7228,<100DM,1_to_4yrs,1,male_single,None,4,building_society_savings_agreement/life_insurance,39,33,none,own,2,unskilled_resident,1,none,yes,0,male
50,None,12,Existing_credits_paid_till_now,radio/television,2073,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,2,real_estate,28,220,none,own,1,skilled_employee/official,1,none,yes,0,female
51,0_to_200DM,24,Delay_in_past,furniture/equipment,2333,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,29,193,bank,own,1,unskilled_resident,1,none,yes,0,male
52,0_to_200DM,27,Delay_in_past,used_car,5965,<100DM,>7yrs,1,male_single,None,2,car_or_other_nonsavings,30,168,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
53,None,12,Existing_credits_paid_till_now,radio/television,1262,<100DM,1_to_4yrs,3,male_single,None,2,car_or_other_nonsavings,25,313,none,own,1,skilled_employee/official,1,none,yes,0,male
54,None,18,Existing_credits_paid_till_now,used_car,3378,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,1,building_society_savings_agreement/life_insurance,31,145,none,own,1,skilled_employee/official,1,yes,yes,0,male
55,0_to_200DM,36,Delay_in_past,new_car,2225,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,57,249,bank,for_free,2,skilled_employee/official,1,yes,yes,1,male
56,None,6,All_credits_paid_duly,new_car,783,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,guarantor,2,real_estate,26,280,stores,own,1,unskilled_resident,2,none,yes,0,male
57,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,6468,Unknown_or_no_savings_acct,unemployed,2,male_single,None,1,unknown/no_property,52,124,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
58,None,36,Critical_acct_other_credits_existing,radio/television,9566,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,31,145,stores,own,2,skilled_employee/official,1,none,yes,0,female
59,>200DM,18,Existing_credits_paid_till_now,new_car,1961,<100DM,>7yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,23,385,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0,female
60,<0DM,36,Critical_acct_other_credits_existing,furniture/equipment,6229,<100DM,<1yr,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,23,385,none,rent,2,unskilled_resident,1,yes,yes,1,female
61,0_to_200DM,9,Existing_credits_paid_till_now,business,1391,<100DM,1_to_4yrs,2,male_married/widowed,None,1,real_estate,27,249,bank,own,1,skilled_employee/official,1,yes,yes,0,male
62,0_to_200DM,15,Critical_acct_other_credits_existing,radio/television,1537,Unknown_or_no_savings_acct,>7yrs,4,male_single,guarantor,4,real_estate,50,88,none,own,2,skilled_employee/official,1,yes,yes,0,male
63,0_to_200DM,36,No_credits_taken_or_all_paid,business,1953,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,61,385,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
64,0_to_200DM,48,No_credits_taken_or_all_paid,business,14421,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,25,313,none,own,1,skilled_employee/official,1,yes,yes,1,male
65,None,24,Existing_credits_paid_till_now,radio/television,3181,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,35,193,none,own,1,skilled_employee/official,1,yes,yes,0,female
66,None,27,Existing_credits_paid_till_now,repairs,5190,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,48,60,none,own,4,skilled_employee/official,2,yes,yes,0,male
67,None,12,Existing_credits_paid_till_now,radio/television,2171,<100DM,<1yr,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,193,bank,own,1,skilled_employee/official,1,none,yes,0,female
68,0_to_200DM,12,Existing_credits_paid_till_now,new_car,1007,>1000DM,1_to_4yrs,4,male_married/widowed,None,1,real_estate,22,424,none,own,1,skilled_employee/official,1,none,yes,0,male
69,None,36,Existing_credits_paid_till_now,education,1819,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,37,49,stores,for_free,1,skilled_employee/official,1,yes,yes,1,male
70,None,36,Existing_credits_paid_till_now,radio/television,2394,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,25,313,none,own,1,skilled_employee/official,1,none,yes,0,female
71,None,36,Existing_credits_paid_till_now,used_car,8133,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30,168,bank,own,1,skilled_employee/official,1,none,yes,0,female
72,None,7,Critical_acct_other_credits_existing,radio/television,730,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,35,193,none,rent,2,unskilled_resident,1,yes,yes,0,male
73,<0DM,8,Critical_acct_other_credits_existing,other,1164,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,51,105,bank,for_free,2,management_self-employed_highly_qualified/officer,2,yes,yes,0,male
74,0_to_200DM,42,Critical_acct_other_credits_existing,business,5954,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,41,25,bank,own,2,unskilled_resident,1,none,yes,0,female
75,<0DM,36,Existing_credits_paid_till_now,education,1977,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,40,28,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
76,<0DM,12,Critical_acct_other_credits_existing,used_car,1526,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,66,600,none,for_free,2,management_self-employed_highly_qualified/officer,1,none,yes,0,male
77,<0DM,42,Existing_credits_paid_till_now,radio/television,3965,<100DM,<1yr,4,male_single,None,3,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,1,none,yes,1,male
78,0_to_200DM,11,Delay_in_past,radio/television,4771,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,51,105,none,own,1,skilled_employee/official,1,none,yes,0,male
79,None,54,No_credits_taken_or_all_paid,used_car,9436,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,39,33,none,own,1,unskilled_resident,2,none,yes,0,male
80,0_to_200DM,30,Existing_credits_paid_till_now,furniture/equipment,3832,<100DM,<1yr,2,male_married/widowed,None,1,building_society_savings_agreement/life_insurance,22,424,none,own,1,skilled_employee/official,1,none,yes,0,male
81,None,24,Existing_credits_paid_till_now,radio/television,5943,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,44,28,none,own,2,skilled_employee/official,1,yes,yes,1,female
82,None,15,Existing_credits_paid_till_now,radio/television,1213,500_to_1000DM,>7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,47,49,stores,own,1,skilled_employee/official,1,yes,yes,0,male
83,None,18,Existing_credits_paid_till_now,business,1568,100_to_500DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,348,none,rent,1,unskilled_resident,1,none,yes,0,female
84,<0DM,24,Existing_credits_paid_till_now,other,1755,<100DM,>7yrs,4,female_divorced/separated/married,guarantor,4,real_estate,58,280,none,own,1,unskilled_resident,1,yes,yes,0,female
85,<0DM,10,Existing_credits_paid_till_now,radio/television,2315,<100DM,>7yrs,3,male_single,None,4,real_estate,52,124,none,own,1,unskilled_resident,1,none,yes,0,male
86,None,12,Critical_acct_other_credits_existing,business,1412,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,2,real_estate,29,193,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
87,0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,1295,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27,249,none,own,2,skilled_employee/official,1,none,yes,0,female
88,0_to_200DM,36,Existing_credits_paid_till_now,education,12612,100_to_500DM,1_to_4yrs,1,male_single,None,4,unknown/no_property,47,49,none,for_free,1,skilled_employee/official,2,yes,yes,1,male
89,<0DM,18,Existing_credits_paid_till_now,new_car,2249,100_to_500DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,30,168,none,own,1,management_self-employed_highly_qualified/officer,2,yes,yes,0,male
90,<0DM,12,No_credits_taken_or_all_paid,repairs,1108,<100DM,4_to_7yrs,4,male_single,None,3,real_estate,28,220,none,own,2,skilled_employee/official,1,none,yes,1,male
91,None,12,Critical_acct_other_credits_existing,radio/television,618,<100DM,>7yrs,4,male_single,None,4,real_estate,35,193,none,own,1,skilled_employee/official,1,none,yes,0,male
92,<0DM,12,Critical_acct_other_credits_existing,used_car,1409,<100DM,>7yrs,4,male_single,None,3,real_estate,54,168,none,own,1,skilled_employee/official,1,none,yes,0,male
93,None,12,Critical_acct_other_credits_existing,radio/television,797,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,33,105,bank,own,1,unskilled_resident,2,none,yes,1,female
94,>200DM,24,Critical_acct_other_credits_existing,furniture/equipment,3617,Unknown_or_no_savings_acct,>7yrs,4,male_single,co-applicant,4,unknown/no_property,20,508,none,rent,2,skilled_employee/official,1,none,yes,0,male
95,0_to_200DM,12,Existing_credits_paid_till_now,new_car,1318,>1000DM,>7yrs,4,male_single,None,4,real_estate,54,168,none,own,1,skilled_employee/official,1,yes,yes,0,male
96,0_to_200DM,54,No_credits_taken_or_all_paid,business,15945,<100DM,<1yr,3,male_single,None,4,unknown/no_property,58,280,none,rent,1,skilled_employee/official,1,yes,yes,1,male
97,None,12,Critical_acct_other_credits_existing,education,2012,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,61,385,none,own,1,skilled_employee/official,1,none,yes,0,female
98,0_to_200DM,18,Existing_credits_paid_till_now,business,2622,100_to_500DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,1,none,yes,0,male
99,0_to_200DM,36,Critical_acct_other_credits_existing,radio/television,2337,<100DM,>7yrs,4,male_single,None,4,real_estate,36,60,none,own,1,skilled_employee/official,1,none,yes,0,male
100,0_to_200DM,20,Delay_in_past,used_car,7057,Unknown_or_no_savings_acct,4_to_7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,36,60,bank,rent,2,management_self-employed_highly_qualified/officer,2,yes,yes,0,male
101,None,24,Existing_credits_paid_till_now,new_car,1469,100_to_500DM,>7yrs,4,male_married/widowed,None,4,real_estate,41,25,none,rent,1,unskilled_resident,1,none,yes,0,male
102,0_to_200DM,36,Existing_credits_paid_till_now,radio/television,2323,<100DM,4_to_7yrs,4,male_single,None,4,car_or_other_nonsavings,35,193,none,rent,1,skilled_employee/official,1,none,yes,0,male
103,None,6,Delay_in_past,radio/television,932,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,0,female
104,0_to_200DM,9,Critical_acct_other_credits_existing,furniture/equipment,1919,<100DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,35,73,none,rent,1,skilled_employee/official,1,yes,yes,0,male
105,None,12,Existing_credits_paid_till_now,used_car,2445,Unknown_or_no_savings_acct,<1yr,2,male_married/widowed,None,4,car_or_other_nonsavings,26,280,none,rent,1,skilled_employee/official,1,yes,yes,0,male
106,0_to_200DM,24,Critical_acct_other_credits_existing,other,11938,<100DM,1_to_4yrs,2,male_single,co-applicant,3,car_or_other_nonsavings,39,33,none,own,2,management_self-employed_highly_qualified/officer,2,yes,yes,1,male
107,None,18,All_credits_paid_duly,new_car,6458,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,39,33,bank,own,2,management_self-employed_highly_qualified/officer,2,yes,yes,1,male
108,0_to_200DM,12,Existing_credits_paid_till_now,new_car,6078,<100DM,4_to_7yrs,2,male_single,None,2,car_or_other_nonsavings,32,124,none,own,1,skilled_employee/official,1,none,yes,0,male
109,<0DM,24,Existing_credits_paid_till_now,furniture/equipment,7721,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30,168,none,own,1,skilled_employee/official,1,yes,no,0,female
110,0_to_200DM,14,Existing_credits_paid_till_now,business,1410,500_to_1000DM,>7yrs,1,male_married/widowed,None,2,real_estate,35,73,none,own,1,skilled_employee/official,1,yes,yes,0,male
111,0_to_200DM,6,Delay_in_past,business,1449,100_to_500DM,>7yrs,1,male_divorced/separated,None,2,car_or_other_nonsavings,31,145,bank,own,2,skilled_employee/official,2,none,yes,0,male
112,>200DM,15,Existing_credits_paid_till_now,education,392,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23,385,none,rent,1,skilled_employee/official,1,yes,yes,0,female
113,0_to_200DM,18,Existing_credits_paid_till_now,new_car,6260,<100DM,4_to_7yrs,3,male_single,None,3,real_estate,28,220,none,rent,1,unskilled_resident,1,none,yes,0,male
114,None,36,Critical_acct_other_credits_existing,new_car,7855,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,35,193,stores,own,2,skilled_employee/official,1,yes,yes,1,female
115,<0DM,12,Existing_credits_paid_till_now,radio/television,1680,500_to_1000DM,>7yrs,3,male_married/widowed,None,1,real_estate,35,73,none,own,1,skilled_employee/official,1,none,yes,0,male
116,None,48,Critical_acct_other_credits_existing,radio/television,3578,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,1,real_estate,47,49,none,own,1,skilled_employee/official,1,yes,yes,0,male
117,<0DM,42,Existing_credits_paid_till_now,radio/television,7174,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,30,168,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,female
118,<0DM,10,Critical_acct_other_credits_existing,furniture/equipment,2132,Unknown_or_no_savings_acct,<1yr,2,female_divorced/separated/married,co-applicant,3,real_estate,27,249,none,rent,2,skilled_employee/official,1,none,no,0,female
119,<0DM,33,Critical_acct_other_credits_existing,furniture/equipment,4281,500_to_1000DM,1_to_4yrs,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,own,2,skilled_employee/official,1,none,yes,1,female
120,0_to_200DM,12,Critical_acct_other_credits_existing,new_car,2366,500_to_1000DM,4_to_7yrs,3,male_divorced/separated,None,3,car_or_other_nonsavings,36,60,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
121,<0DM,21,Existing_credits_paid_till_now,radio/television,1835,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,25,313,none,own,2,skilled_employee/official,1,yes,yes,1,female
122,None,24,Critical_acct_other_credits_existing,used_car,3868,<100DM,>7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,41,25,none,rent,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
123,None,12,Existing_credits_paid_till_now,furniture/equipment,1768,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,24,348,none,rent,1,unskilled_resident,1,none,yes,0,male
124,>200DM,10,Critical_acct_other_credits_existing,new_car,781,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,63,465,none,for_free,2,skilled_employee/official,1,yes,yes,0,male
125,0_to_200DM,18,Existing_credits_paid_till_now,furniture/equipment,1924,Unknown_or_no_savings_acct,<1yr,4,female_divorced/separated/married,None,3,real_estate,27,249,none,rent,1,skilled_employee/official,1,none,yes,1,female
126,<0DM,12,Critical_acct_other_credits_existing,new_car,2121,<100DM,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,30,168,none,own,2,skilled_employee/official,1,none,yes,0,male
127,<0DM,12,Existing_credits_paid_till_now,radio/television,701,<100DM,1_to_4yrs,4,male_married/widowed,None,2,real_estate,40,28,none,own,1,unskilled_resident,1,none,yes,0,male
128,0_to_200DM,12,Existing_credits_paid_till_now,repairs,639,<100DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,30,168,none,own,1,skilled_employee/official,1,none,yes,1,male
129,0_to_200DM,12,Critical_acct_other_credits_existing,used_car,1860,<100DM,unemployed,4,male_single,None,2,car_or_other_nonsavings,34,88,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
130,<0DM,12,Critical_acct_other_credits_existing,new_car,3499,<100DM,1_to_4yrs,3,female_divorced/separated/married,co-applicant,2,real_estate,29,193,none,own,2,skilled_employee/official,1,none,yes,1,female
131,0_to_200DM,48,Existing_credits_paid_till_now,new_car,8487,Unknown_or_no_savings_acct,4_to_7yrs,1,female_divorced/separated/married,None,2,car_or_other_nonsavings,24,348,none,own,1,skilled_employee/official,1,none,yes,0,female
132,<0DM,36,Delay_in_past,education,6887,<100DM,1_to_4yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,35,193,stores,own,1,skilled_employee/official,1,yes,yes,1,male
133,None,15,Existing_credits_paid_till_now,furniture/equipment,2708,<100DM,<1yr,2,male_single,None,3,building_society_savings_agreement/life_insurance,27,249,bank,own,2,unskilled_resident,1,none,yes,0,male
134,None,18,Existing_credits_paid_till_now,furniture/equipment,1984,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,47,49,bank,for_free,2,skilled_employee/official,1,none,yes,0,male
135,None,60,Existing_credits_paid_till_now,radio/television,10144,100_to_500DM,4_to_7yrs,2,female_divorced/separated/married,None,4,real_estate,21,465,none,own,1,skilled_employee/official,1,yes,yes,0,female
136,None,12,Critical_acct_other_credits_existing,radio/television,1240,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,2,real_estate,38,40,none,own,2,skilled_employee/official,1,yes,yes,0,female
137,None,27,Delay_in_past,used_car,8613,>1000DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27,249,none,own,2,skilled_employee/official,1,none,yes,0,male
